iter	RMSE
965	4.630797396
966	4.630569432
967	4.630325737
968	4.629806926
969	4.629049917
970	4.628789062
971	4.628667031
972	4.628439346
973	4.628189258
974	4.627447492
975	4.627261389
976	4.627051356
977	4.626567617
978	4.626390006
979	4.626007115
980	4.625841678
981	4.62572076
982	4.625515565
983	4.625380065
984	4.625157483
985	4.624718953
986	4.624216183
987	4.624033288
988	4.62389673
989	4.623478449
990	4.623259269
991	4.623020022
992	4.622621498
993	4.622519267
994	4.621986343
995	4.621845996
996	4.62160077
997	4.621361851
998	4.621149213
999	4.62080894
1000	4.620396991
1001	4.619470383
1002	4.619135491
1003	4.618716601
1004	4.618297109
1005	4.618108968
1006	4.617571345
1007	4.617401557
1008	4.617199235
1009	4.616313366
1010	4.615897309
1011	4.615677348
1012	4.615529087
1013	4.615289416
1014	4.614905511
1015	4.614329757
1016	4.613461367
1017	4.613265094
1018	4.612892012
1019	4.612710681
1020	4.612268569
1021	4.612037878
1022	4.611819314
1023	4.611320851
1024	4.611063455
1025	4.610573284
1026	4.610261493
1027	4.609844418
1028	4.609618617
1029	4.609123421
1030	4.608597805
1031	4.60850646
1032	4.607641551
1033	4.607428633
1034	4.607268817
1035	4.606430068
1036	4.606119749
1037	4.605884413
1038	4.605361681
1039	4.605222504
1040	4.6045835
1041	4.604466304
1042	4.604317732
1043	4.603907498
1044	4.603430213
1045	4.602897363
1046	4.60277206
1047	4.602549545
1048	4.602006778
1049	4.601581874
1050	4.601388826
1051	4.600911177
1052	4.600751948
1053	4.60061868
1054	4.600384988
1055	4.600263737
1056	4.599902625
1057	4.599666112
1058	4.598978909
1059	4.598872897
1060	4.598758091
1061	4.598230436
1062	4.597899926
1063	4.597367605
1064	4.59720411
1065	4.596913726
1066	4.596753368
1067	4.596287885
1068	4.596103682
1069	4.595909032
1070	4.595601664
1071	4.595165719
1072	4.594386247
1073	4.594093939
1074	4.593184943
1075	4.593063444
1076	4.592943746
1077	4.592723546
1078	4.592350811
1079	4.592152599
1080	4.591964111
1081	4.591515571
1082	4.591009726
1083	4.59051832
1084	4.589975409
1085	4.589720472
1086	4.589224811
1087	4.589065859
1088	4.588942346
1089	4.588438743
1090	4.588043427
1091	4.587763662
1092	4.587279874
1093	4.586818716
1094	4.586595868
1095	4.585844362
1096	4.585327307
1097	4.584859065
1098	4.584138054
1099	4.583981351
1100	4.583638876
1101	4.583179543
1102	4.582977823
1103	4.582775222
1104	4.582266112
1105	4.582037518
1106	4.58193435
1107	4.581653675
1108	4.581487157
1109	4.580719075
1110	4.580519162
1111	4.580369604
1112	4.579968968
1113	4.579450535
1114	4.579274358
1115	4.57916345
1116	4.57895464
1117	4.578554748
1118	4.577527339
1119	4.57739625
1120	4.577241257
1121	4.576823811
1122	4.576669232
1123	4.575940493
1124	4.575796285
1125	4.575337023
1126	4.574977932
1127	4.574524872
1128	4.573998641
1129	4.5736933
1130	4.573528718
1131	4.573395833
1132	4.573215407
1133	4.572879745
1134	4.572479455
1135	4.572300508
1136	4.571823289
1137	4.571686172
1138	4.571204596
1139	4.570960982
1140	4.570223205
1141	4.569517991
1142	4.569177617
1143	4.569078114
1144	4.568685512
1145	4.5685101
1146	4.56839106
1147	4.568249282
1148	4.568042249
1149	4.567715968
1150	4.567363183
